Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Pigeon Lake,Manitowoc,64000,NE,36,,363078,SE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
1,03/08/1978,,,,,20,,51,,,,,,
1,04/26/1978,,,,,20,,51,,,,,,
1,07/24/1978,,,,,20,,51,,,,,,
1,10/24/1978,,,,,20,,51,,,,,,
1,08/06/1979,,,,3.61,20,,51,45,,,,,
1,01/06/1994,,,,,,,,,,,,,
8190509,06/06/1994,6.5,NO,2,,,50,,,LOW,,,BROWN,
8190509,06/20/1994,4,NO,1.2,,,57,,,LOW,,,GREEN,
1,07/19/1994,,,,,,,,,,,,,
1,07/25/1994,,,,13.9,21,,52,55,,,,,
1,08/15/1994,,,,4.13,15,,49,46,,,,,
1,01/23/1995,,,,4.55,20,,51,46,,,,,
1,06/12/1995,21.3,,6.5,3.92,16,33,50,45,,,,,
1,03/14/1996,,,,3.63,11,,47,45,,,,,
1,05/06/1996,7.2,,2.2,6.68,14,49,49,49,,,,,
1,06/19/1996,6,,1.8,11.4,15,51,49,53,,,,,
1,07/11/1996,5.2,,1.6,4.34,14,53,49,46,,,,,
1,08/26/1996,7,,2.1,6.05,11,49,47,48,,,,,
7000093,05/05/2004,,,,2.73,21,,52,42,,,,,
7000093,06/17/2004,,,,3.62,18,,51,45,,,,,
7000093,08/16/2004,,,,1.95,17,,50,40,,,,,
7000093,11/11/2004,,,,4.42,,,,46,,,,,
1,07/05/2005,,,,3.09,14,,49,43,,,,,
112080008,08/08/2005,8.25,,2.5,,,47,,,,,,,
8190509,08/22/2005,,,,3.08,13,,48,43,,,,,
1,09/19/2005,,,,1.85,15,,49,39,,,,,
1,05/17/2006,,,,,31,,55,,,,,,
1,06/12/2006,,,,2.45,21,,52,42,,,,,
1,07/31/2006,,,,3.77,,,,45,,,,,
1,09/21/2006,,,,2.75,22,,52,42,,,,,
112080110,05/25/2007,7.5,,2.3,,,48,,,,,,,
8191364,07/16/2007,,,,4,,,,45,,,,,
112080199,07/16/2007,10.25,,3.1,,,44,,,,,,,
8191364,09/23/2007,,,,2.15,16,,50,41,,,,,
8191364,06/19/2008,,,,3.13,16,,50,43,,,,,
112080008,06/19/2008,11.5,,3.5,,,42,,,,,,,
8191364,07/18/2008,,,,4.77,13,,48,47,,,,,
8191364,08/27/2008,,,,2.73,16,,50,42,,,,,
112080110,08/27/2008,15,,4.6,,,38,,,,,,,
8191364,05/29/2009,,,,,12,,47,,,,,,
112080008,06/23/2009,19,,5.8,12,13,35,48,54,,,,,
112080285,06/23/2009,19,,5.8,,,35,,,,,,,
1,07/23/2009,,,,4.44,13,,48,46,,,,,
112080285,07/24/2009,6.5,,2,,,50,,,,,,,
33533976,05/10/2010,,,,,12,,47,,,,,,
33533976,06/22/2010,,,,2.8,16,,50,43,,,,,
33533976,06/29/2010,7.5,,2.3,,,48,,,,,,,
33533976,07/21/2010,,,,8.29,18,,51,51,,,,,
33533976,07/23/2010,5.5,,1.7,,,53,,,,,,,
33533976,08/23/2010,,,,5.74,15,,49,48,,,,,
33533976,08/24/2010,6,,1.8,,,51,,,,,,,
33533976,05/29/2011,17.5,NO,5.3,,9,36,45,,,,,,
33533976,06/23/2011,15,,4.6,1.11,11,38,47,36,,,,,
33533976,07/20/2011,7,,2.1,7.64,20,49,51,50,,,,,
33533976,08/26/2011,7,,2.1,4.3,15,49,49,46,,,,,
33533976,06/26/2012,,,,7.45,20,,51,50,,,,,
33533976,07/30/2012,,,,6.16,17,,50,49,,,,,
33533976,08/27/2012,7.5,,2.3,2.07,13,48,48,40,,,,,
33533976,04/25/2013,,,,,12,,47,,,,,,
33533976,05/26/2013,,,,,16.4,,50,,,,,,
33533976,06/20/2013,,,,5.49,14.1,,49,48,,,,,
33533976,07/24/2013,,,,4.44,11.1,,47,46,,,,,
33533976,08/26/2013,,,,2.94,13.7,,48,43,,,,,
33533976,05/19/2014,,,,,16,,50,,,,,,
33533976,06/27/2014,,,,3.22,15.8,,50,44,,,,,
33533976,08/27/2014,,,,4.27,16.1,,50,46,,,,,
1,04/11/2015,,,,,20.5,,52,,,,,,
109917525,06/26/2015,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
109917525,06/28/2015,,,,7.76,21.1,,52,50,,,,,
109917525,06/29/2015,8.5,NO,2.6,,,46,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
109917525,07/26/2015,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
109917525,08/06/2015,,,,3.29,18.2,,51,44,,,,,
109917525,08/31/2015,10.5,NO,3.2,3.44,17.5,43,50,44,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer
109917525,03/25/2016,,,,,20.4,,52,,,,,,
109917525,05/23/2016,8.5,NO,2.6,,26.8,46,54,,,,,,2-Very minor aesthetic problems
109917525,06/26/2016,9,,2.7,2.33,21.2,45,52,41,,,,,3-Enjoyment somewhat impaired (algae)
109917525,07/24/2016,9,NO,2.7,,,45,,,NORMAL,,,,3-Enjoyment somewhat impaired (algae)
109917525,09/03/2016,9,,2.7,,,45,,,,,,,2-Very minor aesthetic problems
109917525,09/05/2016,,,,3.77,16.8,,50,45,,,,,
109917525,04/09/2017,,,,,22.9,,52,,,,,,
36798881,04/30/2017,,,,,,,,,,,,,
36798881,05/02/2017,,,,,,,,,,,,,
36798881,05/04/2017,,,,,,,,,,,,,
36798881,05/06/2017,,,,,,,,,,,,,
36798881,05/13/2017,,,,,,,,,,,,,
36798881,05/20/2017,,,,,,,,,,,,,
36798881,05/27/2017,,,,,,,,,,,,,
36798881,06/03/2017,,,,,,,,,,,,,
36798881,06/17/2017,,,,,,,,,,,,,
109917525,06/25/2017,8,NO,2.4,5.76,27.4,47,54,48,,,,,3-Enjoyment somewhat impaired (algae)
36798881,07/15/2017,,,,,,,,,,,,,
109917525,07/27/2017,7.5,NO,2.3,4.4,20.2,48,51,46,,,,,3-Enjoyment somewhat impaired (algae)
36798881,08/12/2017,,,,,,,,,,,,,
109917525,09/02/2017,,,,5.7,18.9,,51,48,,,,,
109917525,04/19/2018,8.5,NO,2.6,,21,46,52,,NORMAL,,CLEAR,GREEN,3-Enjoyment somewhat impaired (algae)
18138755,06/23/2018,6.5,NO,2,4.13,16.8,50,50,46,,,,,
18138755,07/21/2018,9.5,NO,2.9,5.29,66.6,45,61,47,,,,,
18138755,08/25/2018,12.5,NO,3.8,5.59,15.3,41,49,48,,,,,
18138755,04/21/2019,10,NO,3,3.8,20.4,44,52,45,HIGH,,CLEAR,GREEN,2-Very minor aesthetic problems
18138755,06/30/2019,8.8,NO,2.7,17.8,15.6,46,49,57,HIGH,,MURKY,GREEN,2-Very minor aesthetic problems
18138755,07/27/2019,4.5,NO,1.4,,,55,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
172537172,07/27/2019,,,,8.02,16.8,,50,51,,,,,
18138755,08/20/2019,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems
172537172,08/20/2019,,,,3.48,14.1,,49,44,,,,,
18138755,04/02/2020,10,NO,3,,,44,,,NORMAL,,CLEAR,GREEN,2-Very minor aesthetic problems
18138755,06/30/2020,12.75,NO,3.9,,,40,,,NORMAL,,CLEAR,GREEN,4-Would not swim but boating OK (algae)
172537172,06/30/2020,,,,1.46,19.2,,51,38,,,,,
18138755,07/29/2020,7.25,NO,2.2,,,49,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
172537172,07/29/2020,,,,13.1,21,,52,54,,,,,
18138755,08/19/2020,7.5,NO,2.3,,,48,,,NORMAL,,MURKY,GREEN,3-Enjoyment somewhat impaired (algae)
172537172,08/19/2020,,,,7.35,19.5,,51,50,,,,,



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
08/06/1979,,,,,9.14,MG/L
01/06/1994,,,2.1,deg. C,14.5,mg/l
07/19/1994,,,25,DEGREES C,8.61,MG/L
07/25/1994,,,25.1,C,7.88,MG/L
08/15/1994,,,21.2,C,7.63,MG/L
01/23/1995,,,,,3.9,MG/L
06/12/1995,,,12,C,0.75,MG/L
03/14/1996,,,1.08,C,0.54,MG/L
05/06/1996,,,9.27,C,11.54,MG/L
06/19/1996,,,16.57,C,0.09,MG/L
07/11/1996,,,17.7,C,0.1,MG/L
08/26/1996,,,18.79,C,0.18,MG/L
08/08/2005,0,FEET,78.4,DEGREES F,7.84,MG/L
08/08/2005,3,FEET,78.4,DEGREES F,8.04,MG/L
08/08/2005,6,FEET,78.5,DEGREES F,8.09,MG/L
08/08/2005,9,FEET,78.4,DEGREES F,8.04,MG/L
08/08/2005,12,FEET,77.9,DEGREES F,7.27,MG/L
08/08/2005,15,FEET,73.2,DEGREES F,8.68,MG/L
08/08/2005,18,FEET,64.2,DEGREES F,9.84,MG/L
08/08/2005,21,FEET,57.8,DEGREES F,8.95,MG/L
08/08/2005,24,FEET,51.5,DEGREES F,7.79,MG/L
08/08/2005,25,FEET,49.4,DEGREES F,6.73,MG/L
08/08/2005,26,FEET,48.4,DEGREES F,5.54,MG/L
08/08/2005,27,FEET,47.6,DEGREES F,4.13,MG/L
08/08/2005,30,FEET,45.1,DEGREES F,.48,MG/L
08/08/2005,33,FEET,43.7,DEGREES F,.33,MG/L
08/08/2005,36,FEET,42.5,DEGREES F,.3,MG/L
08/08/2005,39,FEET,42.1,DEGREES F,.27,MG/L
08/08/2005,42,FEET,41.9,DEGREES F,.26,MG/L
08/08/2005,45,FEET,41.5,DEGREES F,.24,MG/L
08/08/2005,48,FEET,41.4,DEGREES F,.24,MG/L
08/08/2005,54,FEET,41.4,DEGREES F,.23,MG/L
08/08/2005,57,FEET,41.1,DEGREES F,.22,MG/L
05/25/2007,0,FEET,65.5,DEGREES F,10.24,MG/L
05/25/2007,3,FEET,65.5,DEGREES F,10.09,MG/L
05/25/2007,6,FEET,65.5,DEGREES F,10.08,MG/L
05/25/2007,9,FEET,65.4,DEGREES F,9.94,MG/L
05/25/2007,12,FEET,65.3,DEGREES F,10.16,MG/L
05/25/2007,15,FEET,61.6,DEGREES F,10.74,MG/L
05/25/2007,18,FEET,55.5,DEGREES F,11.78,MG/L
05/25/2007,21,FEET,47.6,DEGREES F,13.48,MG/L
05/25/2007,24,FEET,44.8,DEGREES F,13.33,MG/L
05/25/2007,27,FEET,43.3,DEGREES F,11.46,MG/L
05/25/2007,30,FEET,42.6,DEGREES F,11.4,MG/L
05/25/2007,33,FEET,42.3,DEGREES F,10.9,MG/L
05/25/2007,36,FEET,42,DEGREES F,9.91,MG/L
05/25/2007,39,FEET,41.6,DEGREES F,9.04,MG/L
05/25/2007,42,FEET,41.5,DEGREES F,7.77,MG/L
05/25/2007,45,FEET,41.3,DEGREES F,6.97,MG/L
05/25/2007,48,FEET,41.5,DEGREES F,7.58,MG/L
05/25/2007,51,FEET,41.3,DEGREES F,5.13,MG/L
05/25/2007,54,FEET,41.2,DEGREES F,4.2,MG/L
05/25/2007,57,FEET,41.2,DEGREES F,4.18,MG/L
07/16/2007,0,FEET,73.9,DEGREES F,9.29,MG/L
07/16/2007,3,FEET,74,DEGREES F,8.99,MG/L
07/16/2007,6,FEET,74,DEGREES F,8.76,MG/L
07/16/2007,9,FEET,73.9,DEGREES F,9,MG/L
07/16/2007,12,FEET,73.4,DEGREES F,8.67,MG/L
07/16/2007,15,FEET,72.7,DEGREES F,8.4,MG/L
07/16/2007,18,FEET,66.6,DEGREES F,11.83,MG/L
07/16/2007,21,FEET,66.6,DEGREES F,13.01,MG/L
07/16/2007,24,FEET,49.4,DEGREES F,11.24,MG/L
07/16/2007,27,FEET,45.2,DEGREES F,10.22,MG/L
07/16/2007,30,FEET,44.1,DEGREES F,6.53,MG/L
07/16/2007,33,FEET,43,DEGREES F,3.52,MG/L
07/16/2007,36,FEET,42.7,DEGREES F,.7,MG/L
07/16/2007,39,FEET,42.2,DEGREES F,.46,MG/L
07/16/2007,42,FEET,41.9,DEGREES F,.37,MG/L
07/16/2007,45,FEET,41.8,DEGREES F,.34,MG/L
07/16/2007,48,FEET,41.6,DEGREES F,.31,MG/L
07/16/2007,51,FEET,41.6,DEGREES F,.3,MG/L
06/19/2008,0,FEET,68.4,DEGREES F,7.65,MG/L
06/19/2008,3,FEET,68.4,DEGREES F,7.63,MG/L
06/19/2008,6,FEET,68.4,DEGREES F,7.73,MG/L
06/19/2008,9,FEET,68.3,DEGREES F,7.69,MG/L
06/19/2008,12,FEET,68,DEGREES F,7.42,MG/L
06/19/2008,15,FEET,66.3,DEGREES F,7.66,MG/L
06/19/2008,18,FEET,60.8,DEGREES F,8.88,MG/L
06/19/2008,21,FEET,54.1,DEGREES F,9.6,MG/L
06/19/2008,24,FEET,49,DEGREES F,8.22,MG/L
06/19/2008,27,FEET,46.1,DEGREES F,5.75,MG/L
06/19/2008,30,FEET,44.7,DEGREES F,3.23,MG/L
06/19/2008,33,FEET,43.8,DEGREES F,2.15,MG/L
06/19/2008,36,FEET,43.4,DEGREES F,1.05,MG/L
06/19/2008,39,FEET,42.9,DEGREES F,.5,MG/L
06/19/2008,42,FEET,42.8,DEGREES F,.42,MG/L
06/19/2008,45,FEET,42.6,DEGREES F,.36,MG/L
06/19/2008,48,FEET,42.3,DEGREES F,.35,MG/L
06/19/2008,51,FEET,42.2,DEGREES F,.34,MG/L
08/27/2008,0,FEET,73.3,DEGREES F,8.47,MG/L
08/27/2008,3,FEET,73.3,DEGREES F,8.54,MG/L
08/27/2008,6,FEET,73.3,DEGREES F,8.35,MG/L
08/27/2008,9,FEET,73.3,DEGREES F,8.5,MG/L
08/27/2008,12,FEET,73.1,DEGREES F,7.99,MG/L
08/27/2008,15,FEET,72.5,DEGREES F,8.09,MG/L
08/27/2008,18,FEET,67.2,DEGREES F,9.05,MG/L
08/27/2008,21,FEET,59.6,DEGREES F,8.99,MG/L
08/27/2008,24,FEET,53.9,DEGREES F,5.23,MG/L
08/27/2008,27,FEET,49.7,DEGREES F,2.01,MG/L
08/27/2008,30,FEET,47.1,DEGREES F,1.55,MG/L
08/27/2008,33,FEET,46.2,DEGREES F,1.2,MG/L
08/27/2008,36,FEET,44.8,DEGREES F,.61,MG/L
08/27/2008,39,FEET,44,DEGREES F,.44,MG/L
08/27/2008,42,FEET,43.6,DEGREES F,.36,MG/L
08/27/2008,45,FEET,43.3,DEGREES F,.37,MG/L
08/27/2008,48,FEET,43,DEGREES F,.35,MG/L
08/27/2008,51,FEET,42.8,DEGREES F,.33,MG/L
08/27/2008,54,FEET,42.7,DEGREES F,.33,MG/L
08/27/2008,57,FEET,42.7,DEGREES F,.32,MG/L
06/23/2009,0,FEET,75.5,DEGREES F,6.36,MG/L
06/23/2009,3,FEET,75.3,DEGREES F,6.37,MG/L
06/23/2009,6,FEET,75.1,DEGREES F,6.12,MG/L
06/23/2009,9,FEET,72.5,DEGREES F,6.14,MG/L
06/23/2009,12,FEET,67.6,DEGREES F,6.55,MG/L
06/23/2009,15,FEET,65.3,DEGREES F,6.71,MG/L
06/23/2009,18,FEET,63.6,DEGREES F,6.6,MG/L
06/23/2009,21,FEET,62,DEGREES F,6.54,MG/L
06/23/2009,24,FEET,56.8,DEGREES F,6.92,MG/L
06/23/2009,27,FEET,42.4,DEGREES F,6.95,MG/L
06/23/2009,30,FEET,47.8,DEGREES F,7.08,MG/L
06/23/2009,33,FEET,46.8,DEGREES F,6.6,MG/L
06/23/2009,36,FEET,45.2,DEGREES F,5.81,MG/L
06/23/2009,39,FEET,43.4,DEGREES F,4.54,MG/L
06/23/2009,42,FEET,42.7,DEGREES F,3.23,MG/L
06/23/2009,45,FEET,41.9,DEGREES F,2.88,MG/L
06/23/2009,48,FEET,41.5,DEGREES F,2.59,MG/L
06/23/2009,51,FEET,41.1,DEGREES F,2.4,MG/L
07/24/2009,0,FEET,72,DEGREES F,3.19,MG/L
07/24/2009,3,FEET,72,DEGREES F,4.23,MG/L
07/24/2009,6,FEET,72,DEGREES F,3.58,MG/L
07/24/2009,9,FEET,72,DEGREES F,3.66,MG/L
07/24/2009,12,FEET,71.6,DEGREES F,3.73,MG/L
07/24/2009,15,FEET,71,DEGREES F,3.79,MG/L
07/24/2009,18,FEET,69.9,DEGREES F,3.94,MG/L
07/24/2009,21,FEET,65.5,DEGREES F,4.53,MG/L
07/24/2009,24,FEET,58.3,DEGREES F,5.21,MG/L
07/24/2009,27,FEET,53.5,DEGREES F,5.62,MG/L
07/24/2009,30,FEET,50.1,DEGREES F,5.05,MG/L
07/24/2009,33,FEET,47,DEGREES F,4.95,MG/L
07/24/2009,36,FEET,45.3,DEGREES F,3.3,MG/L
07/24/2009,39,FEET,44.2,DEGREES F,2.86,MG/L
07/24/2009,42,FEET,43.3,DEGREES F,2.64,MG/L
07/24/2009,45,FEET,42.2,DEGREES F,2.47,MG/L
07/24/2009,48,FEET,41.6,DEGREES F,2.4,MG/L
07/24/2009,51,FEET,41.3,DEGREES F,2.3,MG/L
06/29/2010,0,FEET,75.3,DEGREES F,11.67,MG/L
06/29/2010,3,FEET,75.2,DEGREES F,12.19,MG/L
06/29/2010,6,FEET,74.9,DEGREES F,12.01,MG/L
06/29/2010,9,FEET,74.5,DEGREES F,11.86,MG/L
06/29/2010,12,FEET,73.5,DEGREES F,11.66,MG/L
06/29/2010,15,FEET,68.2,DEGREES F,11.01,MG/L
06/29/2010,18,FEET,64.1,DEGREES F,13.42,MG/L
06/29/2010,21,FEET,60.2,DEGREES F,13.12,MG/L
06/29/2010,24,FEET,57,DEGREES F,12.83,MG/L
06/29/2010,27,FEET,53.8,DEGREES F,8.92,MG/L
06/29/2010,30,FEET,50.4,DEGREES F,6.45,MG/L
06/29/2010,33,FEET,48.6,DEGREES F,5.54,MG/L
06/29/2010,36,FEET,46.2,DEGREES F,2.64,MG/L
06/29/2010,39,FEET,44.8,DEGREES F,.45,MG/L
06/29/2010,42,FEET,42.6,DEGREES F,.34,MG/L
07/23/2010,0,FEET,77.2,DEGREES F,8.77,MG/L
07/23/2010,3,FEET,77.2,DEGREES F,8.59,MG/L
07/23/2010,6,FEET,77.3,DEGREES F,8.77,MG/L
07/23/2010,9,FEET,77.3,DEGREES F,8.92,MG/L
07/23/2010,12,FEET,76.9,DEGREES F,4.26,MG/L
07/23/2010,15,FEET,70.8,DEGREES F,2.46,MG/L
07/23/2010,18,FEET,65.6,DEGREES F,3.53,MG/L
07/23/2010,21,FEET,60.4,DEGREES F,3.71,MG/L
07/23/2010,24,FEET,56.6,DEGREES F,6.38,MG/L
07/23/2010,27,FEET,53.5,DEGREES F,4.69,MG/L
07/23/2010,30,FEET,50.6,DEGREES F,2.2,MG/L
07/23/2010,33,FEET,48.9,DEGREES F,1.44,MG/L
07/23/2010,36,FEET,47.1,DEGREES F,.36,MG/L
07/23/2010,39,FEET,45.5,DEGREES F,.29,MG/L
08/24/2010,0,FEET,76.9,DEGREES F,10.08,MG/L
08/24/2010,3,FEET,76.9,DEGREES F,10.3,MG/L
08/24/2010,6,FEET,76.8,DEGREES F,10.47,MG/L
08/24/2010,9,FEET,76.4,DEGREES F,9.81,MG/L
08/24/2010,12,FEET,75.6,DEGREES F,8.3,MG/L
08/24/2010,15,FEET,72.6,DEGREES F,1.23,MG/L
08/24/2010,18,FEET,67.1,DEGREES F,.32,MG/L
08/24/2010,21,FEET,61.5,DEGREES F,.23,MG/L
08/24/2010,24,FEET,57.1,DEGREES F,.2,MG/L
08/24/2010,27,FEET,54,DEGREES F,.18,MG/L
08/24/2010,30,FEET,51,DEGREES F,.16,MG/L
08/24/2010,33,FEET,48.8,DEGREES F,.17,MG/L
08/24/2010,36,FEET,46.8,DEGREES F,.18,MG/L
08/24/2010,39,FEET,45.8,DEGREES F,.17,MG/L
08/24/2010,42,FEET,45,DEGREES F,.17,MG/L
05/29/2011,0,FEET,59.4,DEGREES F,8.58,MG/L
05/29/2011,3,FEET,59.3,DEGREES F,9.08,MG/L
05/29/2011,6,FEET,59.1,DEGREES F,9.15,MG/L
05/29/2011,9,FEET,59,DEGREES F,9.48,MG/L
05/29/2011,12,FEET,58.7,DEGREES F,9.76,MG/L
05/29/2011,15,FEET,57.5,DEGREES F,9.92,MG/L
05/29/2011,18,FEET,56.4,DEGREES F,10.27,MG/L
05/29/2011,21,FEET,56.4,DEGREES F,10.37,MG/L
05/29/2011,24,FEET,54.1,DEGREES F,11.13,MG/L
05/29/2011,27,FEET,50.8,DEGREES F,11.77,MG/L
05/29/2011,30,FEET,47.1,DEGREES F,12.06,MG/L
05/29/2011,33,FEET,44.9,DEGREES F,11.97,MG/L
05/29/2011,36,FEET,43.9,DEGREES F,11.43,MG/L
05/29/2011,39,FEET,43.3,DEGREES F,10.98,MG/L
05/29/2011,42,FEET,42.8,DEGREES F,10.72,MG/L
05/29/2011,45,FEET,42.5,DEGREES F,10.1,MG/L
05/29/2011,48,FEET,42.2,DEGREES F,9.83,MG/L
05/29/2011,51,FEET,42,DEGREES F,9.05,MG/L
05/29/2011,54,FEET,41.9,DEGREES F,8.53,MG/L
05/29/2011,57,FEET,41.8,DEGREES F,7.88,MG/L
05/29/2011,60,FEET,41.8,DEGREES F,7.15,MG/L
06/23/2011,0,FEET,69,DEGREES F,5.5,MG/L
06/23/2011,3,FEET,68.6,DEGREES F,5.52,MG/L
06/23/2011,6,FEET,68.5,DEGREES F,5.57,MG/L
06/23/2011,9,FEET,68.3,DEGREES F,5.55,MG/L
06/23/2011,12,FEET,67.6,DEGREES F,5.53,MG/L
06/23/2011,15,FEET,65.4,DEGREES F,5.93,MG/L
06/23/2011,18,FEET,61,DEGREES F,6.3,MG/L
06/23/2011,21,FEET,55.5,DEGREES F,6.82,MG/L
06/23/2011,24,FEET,52.4,DEGREES F,7.06,MG/L
06/23/2011,27,FEET,47.8,DEGREES F,6.96,MG/L
06/23/2011,30,FEET,45.9,DEGREES F,6.62,MG/L
06/23/2011,33,FEET,45.2,DEGREES F,6.12,MG/L
06/23/2011,36,FEET,44.2,DEGREES F,5.88,MG/L
06/23/2011,39,FEET,43.5,DEGREES F,5.4,MG/L
06/23/2011,42,FEET,43.1,DEGREES F,5.09,MG/L
06/23/2011,45,FEET,42.9,DEGREES F,4.74,MG/L
06/23/2011,48,FEET,42.6,DEGREES F,4.08,MG/L
06/23/2011,51,FEET,42.4,DEGREES F,2.9,MG/L
06/23/2011,54,FEET,42.3,DEGREES F,2.25,MG/L
06/23/2011,57,FEET,42.3,DEGREES F,1.79,MG/L
07/20/2011,0,FEET,81,DEGREES F,7.92,MG/L
07/20/2011,3,FEET,81.2,DEGREES F,8.41,MG/L
07/20/2011,6,FEET,81.2,DEGREES F,8.55,MG/L
