Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Anvil Lake,Vilas,968800,NO,64,,643401,NE,SEEPAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8190977,05/31/1986,23,NO,7,,,32,,,GAUGE,6.28,,,
8190977,06/08/1986,18,NO,5.5,,,35,,,GAUGE,6.13,,,
8190977,06/24/1986,16.5,NO,5,,,37,,,GAUGE,6.04,,GREEN,
8190977,07/22/1986,12,NO,3.6,,,41,,,GAUGE,6.12,,,
8190977,08/03/1986,10,NO,3,,,44,,,GAUGE,6,CLEAR,BLUE,
8190977,08/09/1986,9.25,NO,2.8,,,45,,,GAUGE,5.98,CLEAR,BLUE,
8190977,08/15/1986,,,,,,,,,GAUGE,5.91,CLEAR,BLUE,
8190977,08/17/1986,9.25,NO,2.8,,,45,,,GAUGE,5.91,,GREEN,
8190977,08/24/1986,10.25,NO,3.1,,,44,,,GAUGE,5.93,CLEAR,BLUE,
8190977,09/01/1986,9.5,NO,2.9,,,45,,,GAUGE,5.79,CLEAR,BLUE,
8190977,09/07/1986,9.5,NO,2.9,,,45,,,GAUGE,5.87,,GREEN,
8190977,09/18/1986,,,,,,,,,GAUGE,5.96,,,
8190977,09/24/1986,15.5,NO,4.7,,,38,,,GAUGE,5.99,,GREEN,
8190977,10/08/1986,,,,,,,,,GAUGE,6.08,,,
8190977,10/16/1986,,,,,,,,,GAUGE,6.19,CLEAR,BLUE,
8190977,10/25/1986,,,,,,,,,GAUGE,6.16,,,
8190977,10/28/1986,14,NO,4.3,,,39,,,,,CLEAR,BLUE,
8190977,05/16/1987,,,,,,,,,GAUGE,5.1,,,
8190977,05/23/1987,,,,,,,,,GAUGE,5.16,,,
8190977,06/05/1987,,,,,,,,,GAUGE,5.16,,,
8190977,06/09/1987,,,,,,,,,GAUGE,5.09,,,
8190977,06/11/1987,15.5,NO,4.7,,,38,,,GAUGE,5.09,,BLUE/GREEN,
8190977,06/14/1987,,,,,,,,,GAUGE,5.08,,,
8190977,06/15/1987,16.5,NO,5,,,37,,,GAUGE,5.05,,BLUE/GREEN,
8190977,06/23/1987,,,,,,,,,GAUGE,4.95,,,
8190977,06/28/1987,14,NO,4.3,,,39,,,GAUGE,4.9,,GREEN,
8190977,06/30/1987,15.5,NO,4.7,,,38,,,GAUGE,4.86,,GREEN,
