Lake Water Quality Report - 1950 to 2020


Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type
Lake of the Falls,Iron,2298300,NO,26,,263143,NW,DRAINAGE



Group Seq No, Start Date, Secchi (Feet),Secchi Hit Bottom?,Secchi (Meters),Chlorophyll(ug/l),Total Phosphorus(ug/l),Secchi TSI,Total Phosphorus TSI,Chlorophyll TSI,Lake Level,Staff Gauge,Appearance,Color,Perception
8188646,04/28/2003,,,,,19,,51,,,,,,
7000017,09/12/2003,8.5,NO,2.6,3.08,17,46,50,43,,,,,
8188501,07/22/2004,5.75,YES,1.7,,,52,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188501,08/12/2004,7,YES,2.1,,,49,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188501,09/19/2004,6.5,YES,2,,,50,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
8188501,07/10/2005,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,
8188501,08/19/2006,5,NO,1.5,6.98,31,54,55,49,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
8188501,05/13/2007,6.5,NO,2,,20,50,51,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
8188501,07/10/2007,7,NO,2.1,,,49,,,NORMAL,,CLEAR,BROWN,
8188501,07/29/2007,,,,,10,,46,,,,,,
8188501,08/19/2007,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,3-Enjoyment somewhat impaired (algae)
131161828,08/16/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,
131161828,08/24/2016,2.5,NO,0.8,,,64,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161828,09/01/2016,3,NO,0.9,,,61,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,09/18/2016,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,09/25/2016,3,NO,0.9,,,61,,,LOW,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,10/03/2016,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,10/19/2016,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,06/01/2017,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/08/2017,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/10/2017,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/19/2017,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/04/2017,4.75,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,08/12/2017,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/19/2017,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,08/28/2017,5.5,NO,1.7,,,53,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/04/2017,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/12/2017,6,NO,1.8,,,51,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/28/2017,5.75,NO,1.7,,,52,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,10/06/2017,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/04/2018,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/12/2018,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/20/2018,3,NO,0.9,,,61,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/27/2018,2.5,NO,0.8,,,64,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/22/2018,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/30/2018,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/15/2018,3,NO,0.9,,,61,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/22/2018,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/31/2018,3,NO,0.9,,,61,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/23/2018,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,05/21/2019,4.5,NO,1.4,,,55,,,HIGH,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,05/30/2019,4.5,NO,1.4,,,55,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/15/2019,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/23/2019,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/16/2019,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/24/2019,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/01/2019,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/17/2019,6.5,NO,2,,,50,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/25/2019,5,NO,1.5,,,54,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/02/2019,6.5,NO,2,,,50,,,LOW,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/19/2019,4.5,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,05/31/2020,3.75,NO,1.1,,,58,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/16/2020,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,06/25/2020,4.25,NO,1.3,,,56,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/10/2020,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/19/2020,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,07/27/2020,3.5,NO,1.1,,,59,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/04/2020,2.75,NO,0.8,6.39,28.3,63,54,49,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/11/2020,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,08/27/2020,5,NO,1.5,,,54,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer
131161830,09/07/2020,4,NO,1.2,4.07,20.7,57,52,45,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,09/21/2020,4,NO,1.2,,,57,,,NORMAL,,CLEAR,BROWN,2-Very minor aesthetic problems
131161830,10/07/2020,4.75,NO,1.4,,,55,,,NORMAL,,CLEAR,BROWN,1-Beautiful, could not be nicer



Start Date,Depth,Depth Units,Temperature,Temperature Units,Dissolved Oxygen,Dissolved Oxygen Units
09/12/2003,7,FEET,,,7.2,MG/L
09/12/2003,,,20.8,C,7.2,MG/L
07/10/2005,3,FEET,71,DEGREES F,,
07/10/2005,6,FEET,71.7,DEGREES F,,
07/10/2005,9,FEET,71.6,DEGREES F,,
07/10/2005,12,FEET,71.6,DEGREES F,,
07/10/2005,15,FEET,71,DEGREES F,,
07/10/2005,18,FEET,70.8,DEGREES F,,
07/10/2005,21,FEET,69.4,DEGREES F,,
08/19/2006,3,FEET,71.9,DEGREES F,,
08/19/2006,6,FEET,71.7,DEGREES F,,
08/19/2006,9,FEET,71.6,DEGREES F,,
08/19/2006,12,FEET,71.6,DEGREES F,,
05/13/2007,3,FEET,60.6,DEGREES F,,
05/13/2007,6,FEET,60.6,DEGREES F,,
05/13/2007,9,FEET,60.4,DEGREES F,,
05/13/2007,12,FEET,60.0,DEGREES F,,
05/13/2007,15,FEET,56.8,DEGREES F,,
05/13/2007,18,FEET,54.5,DEGREES F,,
05/13/2007,21,FEET,54.1,DEGREES F,,
07/10/2007,3,FEET,71,DEGREES F,,
07/10/2007,6,FEET,71.7,DEGREES F,,
07/10/2007,9,FEET,71.6,DEGREES F,,
07/10/2007,12,FEET,71.6,DEGREES F,,
07/10/2007,15,FEET,71,DEGREES F,,
07/10/2007,18,FEET,70.8,DEGREES F,,
07/10/2007,21,FEET,69.4,DEGREES F,,
08/19/2007,3,FEET,71.9,DEGREES F,,
08/19/2007,6,FEET,71.7,DEGREES F,,
08/19/2007,9,FEET,71.6,DEGREES F,,
08/19/2007,12,FEET,71.6,DEGREES F,,
08/16/2016,3,FEET,75.5,DEGREES F,,
08/16/2016,6,FEET,72.2,DEGREES F,,
08/16/2016,9,FEET,71.4,DEGREES F,,
08/16/2016,12,FEET,69.2,DEGREES F,,
08/16/2016,15,FEET,55.2,DEGREES F,,
08/24/2016,3,FEET,71.4,DEGREES F,,
08/24/2016,6,FEET,70.1,DEGREES F,,
08/24/2016,9,FEET,69.6,DEGREES F,,
08/24/2016,12,FEET,65.6,DEGREES F,,
08/24/2016,15,FEET,54.4,DEGREES F,,
09/01/2016,3,FEET,68.7,DEGREES F,,
09/01/2016,6,FEET,68.7,DEGREES F,,
09/01/2016,9,FEET,68.5,DEGREES F,,
09/01/2016,12,FEET,66.8,DEGREES F,,
09/01/2016,15,FEET,65.6,DEGREES F,,
09/18/2016,3,FEET,66.2,DEGREES F,,
09/18/2016,6,FEET,66.5,DEGREES F,,
09/18/2016,9,FEET,64.7,DEGREES F,,
09/18/2016,12,FEET,64.7,DEGREES F,,
09/18/2016,15,FEET,64.5,DEGREES F,,
09/18/2016,18,FEET,63.8,DEGREES F,,
09/25/2016,3,FEET,63.6,DEGREES F,,
09/25/2016,6,FEET,63.6,DEGREES F,,
09/25/2016,9,FEET,63.6,DEGREES F,,
09/25/2016,12,FEET,63.5,DEGREES F,,
09/25/2016,15,FEET,63.5,DEGREES F,,
09/25/2016,18,FEET,63.3,DEGREES F,,
10/03/2016,3,FEET,59.7,DEGREES F,,
10/03/2016,6,FEET,58.6,DEGREES F,,
10/03/2016,9,FEET,58.2,DEGREES F,,
10/03/2016,12,FEET,57.5,DEGREES F,,
10/03/2016,15,FEET,57.2,DEGREES F,,
10/03/2016,18,FEET,57,DEGREES F,,
10/19/2016,3,FEET,54.5,DEGREES F,,
10/19/2016,6,FEET,54.3,DEGREES F,,
10/19/2016,9,FEET,54.1,DEGREES F,,
10/19/2016,12,FEET,53.6,DEGREES F,,
10/19/2016,15,FEET,53.4,DEGREES F,,
10/19/2016,18,FEET,53.2,DEGREES F,,
06/01/2017,3,FEET,61,DEGREES F,,
06/01/2017,6,FEET,60,DEGREES F,,
06/01/2017,9,FEET,57.4,DEGREES F,,
06/01/2017,12,FEET,56.6,DEGREES F,,
06/01/2017,15,FEET,56.1,DEGREES F,,
06/08/2017,3,FEET,71.6,DEGREES F,,
06/08/2017,6,FEET,69.5,DEGREES F,,
06/08/2017,9,FEET,63.5,DEGREES F,,
06/08/2017,12,FEET,58,DEGREES F,,
06/08/2017,15,FEET,57,DEGREES F,,
07/10/2017,3,FEET,72.5,DEGREES F,,
07/10/2017,6,FEET,70.3,DEGREES F,,
07/10/2017,9,FEET,66.5,DEGREES F,,
07/10/2017,12,FEET,62.5,DEGREES F,,
07/10/2017,15,FEET,61.7,DEGREES F,,
07/10/2017,18,FEET,61.1,DEGREES F,,
07/19/2017,3,FEET,73.3,DEGREES F,,
07/19/2017,6,FEET,72.5,DEGREES F,,
07/19/2017,9,FEET,69.2,DEGREES F,,
07/19/2017,12,FEET,64.4,DEGREES F,,
07/19/2017,15,FEET,62.4,DEGREES F,,
07/19/2017,18,FEET,61.1,DEGREES F,,
08/04/2017,3,FEET,68.5,DEGREES F,,
08/04/2017,6,FEET,67.6,DEGREES F,,
08/04/2017,9,FEET,67.4,DEGREES F,,
08/04/2017,12,FEET,67.4,DEGREES F,,
08/04/2017,15,FEET,65.4,DEGREES F,,
08/04/2017,18,FEET,64.2,DEGREES F,,
08/12/2017,3,FEET,69.9,DEGREES F,,
08/12/2017,6,FEET,68.5,DEGREES F,,
08/12/2017,9,FEET,68.3,DEGREES F,,
08/12/2017,12,FEET,68,DEGREES F,,
08/12/2017,15,FEET,67.5,DEGREES F,,
08/12/2017,18,FEET,63.8,DEGREES F,,
08/19/2017,3,FEET,69,DEGREES F,,
08/19/2017,6,FEET,68.3,DEGREES F,,
08/19/2017,9,FEET,67.8,DEGREES F,,
08/19/2017,12,FEET,67.2,DEGREES F,,
08/19/2017,15,FEET,66.9,DEGREES F,,
08/19/2017,18,FEET,65.8,DEGREES F,,
08/28/2017,3,FEET,65.3,DEGREES F,,
08/28/2017,6,FEET,65.1,DEGREES F,,
08/28/2017,9,FEET,64.7,DEGREES F,,
08/28/2017,12,FEET,64.4,DEGREES F,,
08/28/2017,15,FEET,64.2,DEGREES F,,
08/28/2017,18,FEET,64.2,DEGREES F,,
09/04/2017,3,FEET,65.8,DEGREES F,,
09/04/2017,6,FEET,65.6,DEGREES F,,
09/04/2017,9,FEET,65.4,DEGREES F,,
09/04/2017,12,FEET,65.4,DEGREES F,,
09/04/2017,15,FEET,64.6,DEGREES F,,
09/04/2017,18,FEET,63.6,DEGREES F,,
09/12/2017,3,FEET,64.5,DEGREES F,,
09/12/2017,6,FEET,63.6,DEGREES F,,
09/12/2017,9,FEET,62.7,DEGREES F,,
09/12/2017,12,FEET,62.4,DEGREES F,,
09/12/2017,15,FEET,61.8,DEGREES F,,
09/12/2017,18,FEET,61.5,DEGREES F,,
09/28/2017,3,FEET,64.9,DEGREES F,,
09/28/2017,6,FEET,64.7,DEGREES F,,
09/28/2017,9,FEET,64.2,DEGREES F,,
09/28/2017,12,FEET,63.3,DEGREES F,,
09/28/2017,15,FEET,62.6,DEGREES F,,
09/28/2017,18,FEET,62.7,DEGREES F,,
10/06/2017,3,FEET,57.9,DEGREES F,,
10/06/2017,6,FEET,57.7,DEGREES F,,
10/06/2017,9,FEET,57.3,DEGREES F,,
10/06/2017,12,FEET,57.2,DEGREES F,,
10/06/2017,15,FEET,57,DEGREES F,,
10/06/2017,18,FEET,57,DEGREES F,,
06/04/2018,3,FEET,64.2,DEGREES F,,
06/04/2018,6,FEET,64.2,DEGREES F,,
06/04/2018,9,FEET,64,DEGREES F,,
06/04/2018,12,FEET,55.7,DEGREES F,,
06/04/2018,15,FEET,53.7,DEGREES F,,
06/04/2018,18,FEET,52.8,DEGREES F,,
06/12/2018,3,FEET,71.2,DEGREES F,,
06/12/2018,6,FEET,69.9,DEGREES F,,
06/12/2018,9,FEET,64.5,DEGREES F,,
06/12/2018,12,FEET,57.2,DEGREES F,,
06/12/2018,15,FEET,54.6,DEGREES F,,
